date,close,airline,ticker,daily_return_pct,normalised_price,volatility_30d,year,month,year_month
2015-10-12,9.93943977355957,Cathay Pacific,0293.HK,1.3605335660684226,91.20606135122871,1.5222205798518267,2015,10,2015-10
2015-10-13,9.992806434631348,Cathay Pacific,0293.HK,0.536918199491887,91.69576329366322,1.4029821544084693,2015,10,2015-10
2015-10-14,9.846050262451172,Cathay Pacific,0293.HK,-1.468618181891057,90.34910264190869,1.4115088802270757,2015,10,2015-10
2015-10-15,10.219612121582031,Cathay Pacific,0293.HK,3.794027545801515,93.77697248352717,1.4842471986380377,2015,10,2015-10
2015-10-16,10.232954025268556,Cathay Pacific,0293.HK,0.13055195762614602,93.89940015690696,1.4457666596386827,2015,10,2015-10
2015-10-19,10.232954025268556,Cathay Pacific,0293.HK,0.0,93.89940015690696,1.4390080955854296,2015,10,2015-10
2015-10-20,10.046170234680176,Cathay Pacific,0293.HK,-1.8253164250239928,92.18543898284393,1.4921678991974845,2015,10,2015-10
2015-10-22,10.139564514160156,Cathay Pacific,0293.HK,0.9296505762721008,93.04244144758691,1.4757160297199803,2015,10,2015-10
2015-10-23,10.35302734375,Cathay Pacific,0293.HK,2.105246525052795,95.00121421298651,1.3692844241045838,2015,10,2015-10
2015-10-26,10.206270217895508,Cathay Pacific,0293.HK,-1.4175286221289385,93.65454481014741,1.3780668080898706,2015,10,2015-10
2015-10-27,10.259636878967283,Cathay Pacific,0293.HK,0.5228811302507186,94.14424675258188,1.3692499934619995,2015,10,2015-10
2015-10-28,10.339688301086426,Cathay Pacific,0293.HK,0.7802559005109844,94.87881279286051,1.3682945922260197,2015,10,2015-10
2015-10-29,10.219612121582031,Cathay Pacific,0293.HK,-1.161313339511194,93.77697248352717,1.3857309278504397,2015,10,2015-10
2015-10-30,10.299660682678224,Cathay Pacific,0293.HK,0.7832837503406243,94.51151227055205,1.3884198062756423,2015,10,2015-10
2015-11-02,10.086196899414062,Cathay Pacific,0293.HK,-2.072532191503762,92.55273075406784,1.4032543071692825,2015,11,2015-11
2015-11-03,10.366369247436523,Cathay Pacific,0293.HK,2.7777798789426544,95.1236418863663,1.4580694815922997,2015,11,2015-11
2015-11-04,10.232954025268556,Cathay Pacific,0293.HK,-1.2870004818799852,93.89940015690696,1.4828839974469086,2015,11,2015-11
2015-11-05,10.286320686340332,Cathay Pacific,0293.HK,0.5215176472013416,94.38910209934144,1.4691701464150928,2015,11,2015-11
2015-11-06,10.219612121582031,Cathay Pacific,0293.HK,-0.6485172569710596,93.77697248352717,1.4458803793003865,2015,11,2015-11
2015-11-09,10.152905464172363,Cathay Pacific,0293.HK,-0.6527317927144782,93.16486036988209,1.4426361047902032,2015,11,2015-11
2015-11-10,9.85939121246338,Cathay Pacific,0293.HK,-2.890938487950445,90.47152156420388,1.533344847017957,2015,11,2015-11
2015-11-11,9.832708358764648,Cathay Pacific,0293.HK,-0.27063388726276116,90.22667496852891,1.533091529868842,2015,11,2015-11
2015-11-12,10.046170234680176,Cathay Pacific,0293.HK,2.1709367157752846,92.18543898284393,1.5518061799153637,2015,11,2015-11
