airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Qantas,QAN.AX,2016,5,2016-05,2.678668737411499,126.63451572050295,-0.1795684794001904,2.8448994852902967,22
Qantas,QAN.AX,2016,6,2016-06,2.3766922042483376,112.3585242542992,-0.38235701725800486,2.2614910598579914,21
Qantas,QAN.AX,2016,7,2016-07,2.4325822989145913,115.00073789303136,0.5554446081888016,2.4590770339370907,21
Qantas,QAN.AX,2016,8,2016-08,2.6856759423794956,126.96578251556548,0.11919585297564225,1.6795199114247783,23
Qantas,QAN.AX,2016,9,2016-09,2.704573642123829,127.85917445385635,-0.06789299648106505,1.4976668259230395,22
Qantas,QAN.AX,2016,10,2016-10,2.641906988053095,124.89659782792374,-0.07568852616799933,1.3024204244284068,21
Qantas,QAN.AX,2016,11,2016-11,2.5961036682128906,122.73123816797542,0.36063867993313603,1.9291953514092706,22
Qantas,QAN.AX,2016,12,2016-12,2.7857354164123533,131.6961110031573,0.05912895252583761,1.9490631152826279,20
Qantas,QAN.AX,2017,1,2017-01,2.8812750577926636,136.21276364083934,0.12854137802594867,1.5229784381116347,20
Qantas,QAN.AX,2017,2,2017-02,2.901388669013977,137.16363799899642,0.48911458765856236,1.424839225460926,20
Qantas,QAN.AX,2017,3,2017-03,3.258593227552331,154.05054366668725,0.24682182364582542,1.4203606997487632,23
Qantas,QAN.AX,2017,4,2017-04,3.392424092573278,160.3774203512454,0.516327147328893,1.073842671487426,17
Qantas,QAN.AX,2017,5,2017-05,4.066937913065371,192.26517482115568,0.7381479517701159,1.3983757001390573,23
Qantas,QAN.AX,2017,6,2017-06,4.629133860270183,218.84308291407936,0.6439475176003226,1.3989119234131888,21
Qantas,QAN.AX,2017,7,2017-07,4.730801582336426,223.6494415983214,-0.33231261698217507,1.5752686518097232,21
Qantas,QAN.AX,2017,8,2017-08,4.88567242415055,230.97098672947112,0.33630981219500383,1.7752340580673587,23
Qantas,QAN.AX,2017,9,2017-09,4.967591717129662,234.84373510245604,0.15582394007113726,1.8069042349831779,21
Qantas,QAN.AX,2017,10,2017-10,5.378964337435636,254.29144501355975,0.25760187334145496,1.3104892354509639,22
Qantas,QAN.AX,2017,11,2017-11,5.068450429222801,239.61184770396065,-0.35967743168725225,1.6521680383028567,22
Qantas,QAN.AX,2017,12,2017-12,4.568008046401174,215.95334976820203,-0.6102492897774443,1.4389237965237494,19
Qantas,QAN.AX,2018,1,2018-01,4.414612020765032,208.70152682026477,0.2271627900502726,1.5424459661828902,21
Qantas,QAN.AX,2018,2,2018-02,4.615021467208862,218.17591715520143,0.5788580434744306,1.6928073322196489,20
Qantas,QAN.AX,2018,3,2018-03,5.165152322678339,244.1834460042534,0.020382268055685326,2.017392044332038,21
Qantas,QAN.AX,2018,4,2018-04,5.187173567320171,245.2245040536619,-0.045508872528673826,1.4574469283809648,19
Qantas,QAN.AX,2018,5,2018-05,5.498433009437893,259.93934660418233,0.43972791275721657,2.034354081755356,23
Qantas,QAN.AX,2018,6,2018-06,5.643227672576904,266.78453869136854,-0.14198282957076092,1.5528828507121477,20
Qantas,QAN.AX,2018,7,2018-07,5.76387509432706,272.48816587485595,0.40418494868881166,1.4804380664901005,22
Qantas,QAN.AX,2018,8,2018-08,5.7906477762305215,273.75384892107695,-0.18070029242381735,1.3212099087626423,23
Qantas,QAN.AX,2018,9,2018-09,5.430909323692322,256.74715298776795,-0.34617379041126883,1.3479878479686542,20
Qantas,QAN.AX,2018,10,2018-10,4.9054013542507,231.90367522283464,-0.3057175597437702,1.497551274226655,23
Qantas,QAN.AX,2018,11,2018-11,5.108976039019498,241.52770273269482,0.4029223186480529,1.972236385309409,22
Qantas,QAN.AX,2018,12,2018-12,5.044826281698127,238.49501215079417,-0.13565396997297788,1.7596704594866512,19
Qantas,QAN.AX,2019,1,2019-01,5.266739640917097,248.98600358400893,-0.2789930955281593,1.7596465557953507,21
Qantas,QAN.AX,2019,2,2019-02,5.0193002939224245,237.28826677943957,0.2741258353113052,1.9222104635255348,20
Qantas,QAN.AX,2019,3,2019-03,5.053818929763067,238.9201411026664,0.05225145580258508,1.6269892376380408,21
Qantas,QAN.AX,2019,4,2019-04,5.180872515628212,244.92662077365912,-0.039808024797255134,1.2737420817987821,19
Qantas,QAN.AX,2019,5,2019-05,4.975322205087413,235.2091952226794,-0.03493538500079858,1.416125177496582,23
Qantas,QAN.AX,2019,6,2019-06,4.972910931235866,235.09520184522458,-0.13615571850184027,1.5027329241235268,19
Qantas,QAN.AX,2019,7,2019-07,5.152250497237496,243.57351003352548,0.252602060298634,1.3099722538552347,23
Qantas,QAN.AX,2019,8,2019-08,5.261753819205544,248.7502980228497,0.32419395460588063,1.5678370724400919,22
Qantas,QAN.AX,2019,9,2019-09,5.754123233613514,272.02714501714917,0.25321991884171624,1.711346939532816,21
Qantas,QAN.AX,2019,10,2019-10,5.992196953814963,283.2821202376472,0.09679622398228244,1.5774497698373524,23
Qantas,QAN.AX,2019,11,2019-11,6.443999267759777,304.6411507249676,0.631911476699422,1.7086117505083143,21
